Country,Country_code,PC1,PC2,PC3
Afghanistan,AFG,-4.4406092118090825,0.19970405188042856,-0.6819270215560351
Albania,ALB,1.3847648392099656,-1.0011560403523458,-0.29111034793154755
Algeria,DZA,1.3948033295737885,-1.3047582705408551,-0.833514673276929
Andorra,AND,2.9339655778964793,1.7039892873234752,-0.5403432317962785
Angola,AGO,-3.7767410822070024,1.5891277379631015,1.6065138263410677
Antigua and Barbuda,ATG,1.0160933673227466,-1.1872621011809656,-0.5796068420196528
Argentina,ARG,1.821779414637378,0.3217042599035877,0.2588283527630006
Armenia,ARM,1.5391029800214786,-1.0524943271225264,-0.7887681528692067
Australia,AUS,4.0455888011673125,1.8214300240677836,-0.7270179168770872
Austria,AUT,2.9422292621058768,1.5959720369118862,-0.2775467125683736
Azerbaijan,AZE,1.0416252034905715,-1.4866392567503337,-0.022742994625469675
"Bahamas, The",BHS,1.5622206652387853,0.28137007697147165,0.23627472113590756
Bahrain,BHR,2.2011667841762783,-0.4693133558226134,-1.2868041035910291
Bangladesh,BGD,-0.681827681852423,-1.4767946077480922,-0.49878860444897194
Barbados,BRB,1.4024189837687435,-0.630748532043244,-0.7899996021011418
Belarus,BLR,2.040667362286975,-0.3896720061604398,-0.2469142941294537
Belgium,BEL,4.132466086476372,1.1597449656500212,-1.1111457182204012
Belize,BLZ,0.35950829832304676,-0.5778131353192208,1.5381448052232285
Benin,BEN,-3.402190296414305,0.7858713402295876,-0.38658326553595235
Bhutan,BTN,1.438203506566983,0.8741949809751861,0.89776148295622
Bolivia,BOL,0.0012069093098968566,0.9559673048432963,1.429748352933553
Bosnia and Herzegovina,BIH,0.5413318791830459,-1.4153485796945393,1.0503743536373056
Botswana,BWA,-0.4353279608456241,0.7848669139157053,0.14096467840874327
Brazil,BRA,0.9943877896314893,0.8250875219632086,2.996939544337486
Brunei Darussalam,BRN,1.924547863981816,0.21903228551620552,1.021688081782925
Bulgaria,BGR,1.4596741672445899,0.3059104960423274,1.0379036685363814
Burkina Faso,BFA,-5.182740805113208,1.25086726840585,-0.6721337435719004
Burundi,BDI,-5.831219297816922,1.190100561759277,-1.404479658763277
Cabo Verde,CPV,0.41325688614830963,-0.8829200621389288,-0.8617526158798909
Cambodia,KHM,-1.4844817489236217,-0.3263233792649485,0.17517436785007306
Cameroon,CMR,-2.976809298179489,0.9021027515228346,0.7079276904418478
Canada,CAN,3.3941664808583596,0.774464645033811,-0.33826159933349736
Central African Republic,CAF,-7.207530708741228,1.8021040761021083,0.1115120541349198
Chad,TCD,-6.458531387584564,1.5227500088626418,-1.5236987450132113
Chile,CHL,2.308700108823056,1.3386366577398812,0.9834345348099307
China,CHN,2.1132959081112928,-0.31512137523287304,1.4149688467387636
Colombia,COL,0.821354058798107,0.24641906100598196,2.732344769516043
Comoros,COM,-3.1588499754407318,-1.6722322387754136,0.06998464724839162
"Congo, Dem. Rep.",COD,-6.863704289940598,2.1617022626716884,0.6120956235367735
"Congo, Rep.",COG,-2.7583450121754454,1.2176970390546802,0.6443257137513301
Costa Rica,CRI,2.375000996997379,0.8866841407154704,2.309546804208745
Cote d'Ivoire,CIV,-2.5631396377098947,0.12856537096520235,-0.7485754629258479
Croatia,HRV,1.5760200078925712,-0.19029243322501693,-0.30378083315398874
Cuba,CUB,1.5262497721277892,0.10317690761966965,0.34647526557192093
Cyprus,CYP,2.412160910816645,-0.5234880689792789,-0.6793272965773045
Czechia,CZE,2.4744808321728797,0.05889386326058027,-0.5930110395153547
Denmark,DNK,3.9011823124731007,1.7577812057755233,-1.6008025190175277
Djibouti,DJI,-1.661242532471248,0.0033694664348305884,-0.39055671515293183
Dominica,DMA,0.49513721647822173,-0.11809234018901528,1.5444886134975278
Dominican Republic,DOM,0.9681806080180632,-0.472476943659155,1.1962398243803314
Ecuador,ECU,0.6198971691318785,0.25598676466588166,1.828446990649321
"Egypt, Arab Rep.",EGY,0.5107128459646829,-1.6859113820824323,-1.0592807389948784
El Salvador,SLV,0.02027842546604773,-2.059042605580058,0.37207383281761197
Equatorial Guinea,GNQ,-0.45390816455801436,-0.395114537994892,2.3802383403562484
Eritrea,ERI,-4.109590817156124,0.1440342416251713,-1.2014361955882837
Estonia,EST,2.600657721587646,0.701483051017808,0.45982982847943993
Eswatini,SWZ,-2.0317503906904886,-0.7741027538045144,-0.3649386699933561
Ethiopia,ETH,-4.338295113638698,1.677519409143983,-1.779628989092092
Fiji,FJI,0.5977298047769453,-1.0139359702580488,0.6835142511542487
Finland,FIN,3.9006948214934547,1.8382852135564263,0.2624725169646957
France,FRA,3.211888656543875,1.5985801046893824,-0.4348274283004038
Gabon,GAB,-1.0250836934302157,1.1872030151618542,2.4183434904249577
"Gambia, The",GMB,-2.08042513191125,-1.4187754675190818,0.042540580399839684
Georgia,GEO,1.155813899954207,-1.3071034210005292,0.4701588944915944
Germany,DEU,3.295127674857922,1.8566215481397395,-0.4006352287647935
Ghana,GHA,-0.8356746842603285,-0.6999073794388337,-0.08819062781411552
Greece,GRC,2.2691794174853555,-0.30413754862647313,0.01629072870711644
Grenada,GRD,0.16663660304275657,0.10275017932148063,1.2293320504601786
Guatemala,GTM,-1.2869878107178803,-1.4492647634854956,-0.012632192598975706
Guinea,GIN,-3.179837012319443,0.5321427835456725,-1.0071965441520423
Guinea-Bissau,GNB,-4.580600927037027,0.35262232660642645,0.5224386262861614
Guyana,GUY,0.07682130754005968,-0.4595002819997539,2.16226880277155
Haiti,HTI,-5.055500068833669,-0.6436038441269085,-0.39629442975622564
