Country,Country_code,PC1,PC2,PC3,Cluster
Ireland,IRL,3.766768722389946,0.8101451501682666,-1.7870177303486976,2
Israel,ISR,2.8540998693250903,0.3932933940704186,-0.5993599574033709,0
Italy,ITA,2.4284409809051497,0.5181043796908478,-0.0630652941789469,0
Jamaica,JAM,0.468350840565846,-1.878418430618348,1.091460793941581,0
Japan,JPN,3.155807177393454,0.4616380749897726,0.931446126417443,0
Jordan,JOR,1.303020241922418,-1.642499996396347,-0.842868754403486,0
Kazakhstan,KAZ,1.6649584504970656,-0.9652163169357972,-1.2120078679222943,0
Kenya,KEN,-3.9864930496809134,0.4565655640265057,-1.041570987026605,1
Kiribati,KIR,-0.6765614832982294,-1.1856110505305253,-1.5260535690634405,1
"Korea, Rep.",KOR,2.871347971109473,0.0193450244039096,0.8580460268625981,0
Kuwait,KWT,2.408124390254483,-0.5960390769447393,-1.0625621684660551,0
Kyrgyz Republic,KGZ,0.1680922637060169,-3.491842292010142,-1.0983785921102598,0
Lao PDR,LAO,-1.0220244388512725,-0.0133204021679036,1.7183809815433957,1
Latvia,LVA,1.7687696671195192,0.3946365929796158,0.8153778615629008,0
Lebanon,LBN,0.6578699179611927,-2.702957752260871,0.0627811150657802,0
Lesotho,LSO,-3.910507674984274,-1.2179142979917452,-1.484845720624608,1
Liberia,LBR,-5.19798539463761,0.3077784415977335,1.185474711973018,1
Libya,LBY,0.4525887645989376,-1.1226646437011307,-0.3872835010124459,0
Liechtenstein,LIE,2.590789417582688,0.4305707856623062,-0.2280804075523962,0
Lithuania,LTU,1.9084565615437303,0.2448467900792121,0.3579157403053351,0
Luxembourg,LUX,4.287383086618753,3.2855848062825275,-0.8895815225810748,2
Madagascar,MDG,-6.313981276575063,1.38340447597173,-0.7024989331980682,1
Malawi,MWI,-5.188042918794967,1.7174737442683927,-0.8223655700380034,1
Malaysia,MYS,1.6016210302869207,-0.3644249591284588,1.6679307326405255,0
Maldives,MDV,0.6886687425230384,-1.6356595488012442,-1.2828532764599416,0
Mali,MLI,-3.49666572712652,0.0228067970812029,-0.9434998528134126,1
Malta,MLT,2.797683611611361,-0.4001904297503135,-1.1554388327628684,0
Marshall Islands,MHL,0.1954157369809592,-1.488905592285454,0.9119723466059444,0
Mauritania,MRT,-2.4792748630738286,-0.366632627384517,-1.619156737088917,1
Mauritius,MUS,0.8864288050149178,-1.1386013484656194,-0.1997048034017629,0
Mexico,MEX,1.3007014773503185,0.3625293624907713,1.38394271536599,0
"Micronesia, Fed. Sts.",FSM,-1.186086606372862,-1.0072551479563896,1.7506180756623655,1
Moldova,MDA,0.5890775850081095,-2.0239572572278166,-1.2339494662412245,0
Monaco,MCO,5.004716212246076,6.523408539565496,-2.760932828194957,2
Mongolia,MNG,0.7860818401716242,-0.8200131952275252,-0.5873658881818278,0
Montenegro,MNE,1.3162848167756094,-1.0483393107134444,1.1881797584466742,0
Morocco,MAR,0.7927850150301503,-1.163260923668361,-0.4390523435145383,0
Mozambique,MOZ,-5.798834835928368,2.6942540866601417,0.86790810647717,1
Myanmar,MMR,-2.2195212023291586,-0.3629243273966792,0.78579291383862,1
Namibia,NAM,-0.9408775620074372,1.0761436456758269,-0.99227913599776,1
Nauru,NRU,0.6098880628319614,-0.8436156901198909,-0.4194768203857107,0
Nepal,NPL,-1.1297172556969648,-1.251303693275427,-0.1658362142549725,1
Netherlands,NLD,4.003339616797575,1.426149552215847,-1.586807267395632,2
New Zealand,NZL,3.8366302649667614,1.996081011005493,-0.4364172036527194,2
Nicaragua,NIC,-1.3396300958988057,-0.2928634198304957,-0.3282775469010743,1
Niger,NER,-5.399426342353132,1.2242150440899866,-1.8859414154746932,1
Nigeria,NGA,-3.5008553884371043,-0.4473579843622637,-0.3623265908938585,1
North Macedonia,MKD,1.3320843407292813,-0.3648965824254483,0.3045203740732802,0
Norway,NOR,4.189814295647624,1.705883747376286,-1.3509897718578374,2
Oman,OMN,1.6463659699945186,-0.9182944509926436,-0.9782388178553278,0
Pakistan,PAK,-1.8666404827066747,-1.312338146728447,-1.3589396861539187,1
Palau,PLW,1.2751746132979154,3.1396881951011584,3.222143366404731,2
Panama,PAN,0.7223945817892169,0.2678833766297834,2.357157051893456,0
Papua New Guinea,PNG,-4.836827603108051,0.3910718010664353,1.1343230181699364,1
Paraguay,PRY,0.1559531951305508,-0.3714014322844376,1.5337587450293684,0
Peru,PER,0.8458855068348751,0.2515875461451278,1.65945600405903,0
Philippines,PHL,-0.199431510078277,-1.18262620309282,0.5678787085922259,1
Poland,POL,2.192330485588919,0.7253141080910113,-0.3220432056454947,0
Portugal,PRT,2.527621896674055,0.6394065966354432,0.1412310006893029,0
Qatar,QAT,3.1607542001729625,0.0886594851896333,-1.554198808855071,0
Romania,ROU,1.2921667501405971,-0.3228262968544059,0.1864274255639245,0
Russian Federation,RUS,1.4906263045560575,-0.8924642429662527,1.21520239347419,0
Rwanda,RWA,-4.260977724663205,2.255481623109292,-1.58792562729019,1
Samoa,WSM,-0.3887070179146739,-2.56817954587822,0.701519475983516,0
San Marino,SMR,2.371204067349085,1.2579244818012918,-1.3100592656305965,0
Sao Tome and Principe,STP,-1.7726563146361172,0.6012323280024694,1.1314579008568186,1
Saudi Arabia,SAU,2.624955967235424,-0.5986369344991779,-1.0915248707070722,0
Senegal,SEN,-1.382839366940685,0.258671026727258,0.1985166051503584,1
Serbia,SRB,1.2298998924448874,-0.8678665523304581,0.1308866829745419,0
Seychelles,SYC,1.7466049994210082,0.7447637299859845,1.033929382991995,0
Sierra Leone,SLE,-4.422619279250019,0.5625143301523107,-0.4934252250008045,1
Singapore,SGP,3.609147689550381,1.0521835892214046,-1.1859740110279318,2
Slovak Republic,SVK,2.093551039773436,0.2112489350365138,-0.5103525999410674,0
Slovenia,SVN,2.8294790048599845,1.1603126928291023,0.0742851434562833,0
Solomon Islands,SLB,-2.3353634222258384,-0.3507521442981822,1.1674301985340638,1
Somalia,SOM,-7.106305924688662,0.0632389762782251,-1.052707620226891,1
South Africa,ZAF,0.8897845049097984,0.2286444599495109,0.0983118052063279,0
South Sudan,SSD,-5.846806059027923,1.120272061183334,-1.0894405594719416,1
Spain,ESP,3.116712026516191,0.9032118587766444,0.1460351309349239,0
Sri Lanka,LKA,-0.4937687849562046,-1.6327088731512718,0.4421297986340139,1
St. Kitts and Nevis,KNA,0.8047326357191024,-0.5989185438849276,-0.2009380954842858,0
St. Lucia,LCA,0.1937426880189696,-1.084985701780511,0.1326429864060634,0
St. Vincent and the Grenadines,VCT,0.9502234336649572,-0.7881742677334866,2.108658115706335,0
Sudan,SDN,-3.3923245083808165,0.0198010087995725,-1.194622464869154,1
Suriname,SUR,0.6096209573482853,-0.1999742294423011,2.516937634989609,0
Sweden,SWE,3.933452881315003,2.055324199177283,0.2211785659762246,2
Switzerland,CHE,3.764808675736956,1.9564856842033247,-1.0443928324701546,2
Syrian Arab Republic,SYR,-1.5407764757424705,-1.6008984567786728,-1.5795248528341237,1
Tajikistan,TJK,-1.9238264324172984,-2.161767109025178,-0.4577095966626708,1
Tanzania,TZA,-4.611662298712375,2.680083958890368,0.2362446216144906,1
Thailand,THA,1.1853032094190648,-0.8429358448630149,0.6638315060982841,0
Timor-Leste,TLS,-1.3505594997594756,-0.1015127370260505,0.7664389918421436,1
Togo,TGO,-3.746965785222611,0.7128792996157771,-0.1909182278084515,1
Tonga,TON,-0.3113594407722705,-4.282815644902735,-1.2176118957280848,0
Trinidad and Tobago,TTO,1.292397385277675,-0.6747013914120524,0.3958320335111623,0
Tunisia,TUN,1.0975080038948306,-1.1628475254033193,-0.6996620601226815,0
Turkmenistan,TKM,0.3762204133320749,-1.3061804148610896,0.0083578138925171,0
Tuvalu,TUV,0.2384635492000939,-1.3073471249749269,0.2298788987791734,0
Uganda,UGA,-5.76719489375973,1.858305122674507,-0.9094490322229852,1
Ukraine,UKR,1.0329056025948895,-1.9168463633943689,-0.8861826625597735,0
United Arab Emirates,ARE,3.3210730469265,0.8186110950055268,-1.926209112320857,0
United Kingdom,GBR,3.5504400743193694,1.7325575716600123,-0.902240910160598,2
United States,USA,3.099135008947102,1.4553334877691375,0.7481842048960032,2
Uruguay,URY,2.219044560475915,0.244211819156694,-0.0476593150624879,0
Uzbekistan,UZB,0.7199612526939522,-2.119723959827912,-0.6280136238374028,0
Vanuatu,VUT,-1.7176096357458768,-2.062190831132952,-0.3061604911728826,1
"Venezuela, RB",VEN,1.1737953930413598,0.7651829822114424,1.283482987179571,0
Viet Nam,VNM,0.7682408332844355,-1.0069930540188556,0.8469648462535021,0
West Bank and Gaza,PSE,0.6992885993685122,-1.7466783270600554,-0.5853855743916516,0
"Yemen, Rep.",YEM,-4.26099676455475,-1.9830861050418016,-1.1622466542191363,1
Zambia,ZMB,-4.789413190935039,2.944184283036885,1.891342584913747,1
Zimbabwe,ZWE,-4.797572835879236,1.7046798423329332,1.2668316126963677,1
