Country,Country_code,PC1,PC2,PC3,Cluster
Afghanistan,AFG,-4.4406092118090825,0.1997040518804285,-0.6819270215560351,1
Albania,ALB,1.3847648392099656,-1.0011560403523458,-0.2911103479315475,0
Algeria,DZA,1.3948033295737885,-1.3047582705408551,-0.833514673276929,0
Andorra,AND,2.9339655778964797,1.7039892873234752,-0.5403432317962785,2
Angola,AGO,-3.7767410822070016,1.5891277379631017,1.6065138263410677,1
Antigua and Barbuda,ATG,1.0160933673227466,-1.1872621011809656,-0.5796068420196528,0
Argentina,ARG,1.821779414637378,0.3217042599035877,0.2588283527630006,0
Armenia,ARM,1.5391029800214786,-1.0524943271225264,-0.7887681528692067,0
Australia,AUS,4.0455888011673125,1.821430024067784,-0.7270179168770872,2
Austria,AUT,2.9422292621058768,1.5959720369118862,-0.2775467125683736,2
Azerbaijan,AZE,1.0416252034905715,-1.4866392567503337,-0.0227429946254696,0
"Bahamas, The",BHS,1.5622206652387851,0.2813700769714716,0.2362747211359075,0
Bahrain,BHR,2.2011667841762783,-0.4693133558226134,-1.2868041035910291,0
Bangladesh,BGD,-0.681827681852423,-1.4767946077480922,-0.4987886044489719,1
Barbados,BRB,1.4024189837687435,-0.630748532043244,-0.7899996021011418,0
Belarus,BLR,2.040667362286975,-0.3896720061604398,-0.2469142941294537,0
Belgium,BEL,4.132466086476372,1.1597449656500212,-1.1111457182204012,2
Belize,BLZ,0.3595082983230467,-0.5778131353192208,1.5381448052232285,0
Benin,BEN,-3.402190296414305,0.7858713402295876,-0.3865832655359523,1
Bhutan,BTN,1.438203506566983,0.8741949809751861,0.89776148295622,0
Bolivia,BOL,0.0012069093098968,0.9559673048432964,1.429748352933553,1
Bosnia and Herzegovina,BIH,0.5413318791830459,-1.4153485796945393,1.0503743536373056,0
Botswana,BWA,-0.4353279608456241,0.7848669139157053,0.1409646784087432,1
Brazil,BRA,0.9943877896314892,0.8250875219632086,2.996939544337486,0
Brunei Darussalam,BRN,1.924547863981816,0.2190322855162055,1.021688081782925,0
Bulgaria,BGR,1.45967416724459,0.3059104960423274,1.0379036685363814,0
Burkina Faso,BFA,-5.182740805113208,1.25086726840585,-0.6721337435719004,1
Burundi,BDI,-5.831219297816922,1.190100561759277,-1.404479658763277,1
Cabo Verde,CPV,0.4132568861483096,-0.8829200621389288,-0.8617526158798909,0
Cambodia,KHM,-1.4844817489236215,-0.3263233792649485,0.175174367850073,1
Cameroon,CMR,-2.976809298179489,0.9021027515228346,0.7079276904418478,1
Canada,CAN,3.39416648085836,0.774464645033811,-0.3382615993334973,0
Central African Republic,CAF,-7.207530708741228,1.8021040761021083,0.1115120541349198,1
Chad,TCD,-6.458531387584564,1.5227500088626418,-1.5236987450132111,1
Chile,CHL,2.308700108823056,1.3386366577398812,0.9834345348099308,0
China,CHN,2.1132959081112928,-0.315121375232873,1.4149688467387636,0
